tax_year,filer_ein,filer_name,recipient_name,recipient_ein,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_country,recipient_postal,amount,purpose
2022,263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,OPEN SOCIETY FOUNDATION LONDON,,4TH FLOOR HERBAL HOUSE8 BACK,HILLFARRINGDON,LONDON,,UK,EC1R 5EN,42768104,"TO SUPPORT NON-LOBBYING ACTIVITIES AND PROGRAMS PROMOTING OPEN, DEMOCRATIC SOCIETIES AROUND THE WORLD"
2022,263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,SOROS ECONOMIC DEVELOPMENT FUND,,224 WEST 57TH STREET,,NEW YORK,NY,,10019,10195000,TO SUPPORT GRANTEE'S PROGRAM RELATED INVESTMENT ACTIVITIES
2022,263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,AMALGAMATED CHARITABLE FOUNDATION,,1825 K STREET NW,,WASHINGTON,DC,,20006,8362000,"TO SUPPORT THE EQUIS INSTITUTE, A PROJECT OF THE GRANTEE THAT SEEKS TO HELP LATINX COMMUNITY-BASED ORGANIZATIONS OVERCOME RACISM AND HISTORIC DISENFRANCHISEMENT TO ELEVATE LATINX VOICES IN OUR DEMOCRACY"
2022,263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,ALLIANCE FOR OPEN SOCIETY INTERNATIONAL INC,,224 WEST 57TH STREET,,NEW YORK,NY,,10019,6923320,TO PROVIDE SUPPORT FOR OPEN SOCIETY INSTITUTE-BALTIMORE'S CHARITABLE PROGRAMS AND OPERATIONS
2022,263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,HOPEWELL FUND,,1828 L STREET NW SUITE 300-D,,WASHINGTON,DC,,20036,5000000,"TO SUPPORT THE DEMOCRACY DOCKET LEGAL FUND, WHICH CHALLENGES SUPPRESSIVE VOTING LAWS AND PRACTICES IN COURT"
2022,263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,EQUIS INSTITUTE,,1728 OCEAN AVE PMB 171,,SAN FRANCISCO,CA,,94112,5000000,TO PROVIDE GENERAL SUPPORT
2022,263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,INTERNATIONAL CRISIS GROUP (WASHINGTON OFFICE),,1629 K STREET NW ROOM 450,,WASHINGTON,DC,,20006,4424260,TO PROVIDE GENERAL SUPPORT
2022,263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,FONDATION CONNAISSANCE ET LIBERTE,,143 AVENUE CHRISTOPHE BP 2720,,PORTAUPRINCE,,HA,HT 6112,4058000,TO PROVIDE GENERAL SUPPORT
2022,263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,BOREALIS PHILANTHROPY,,PO BOX 3295,,MINNEAPOLIS,MN,,55403,4000000,"TO EXPAND THE EFFORTS OF THE COMMUNITIES TRANSFORMING POLICING FUND TO IDENTIFY, SUPPORT, AND NURTURE PROMISING COMMUNITY-BASED POLICE REFORM CAMPAIGNS"
2022,263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,OPEN SOCIETY FOUNDATION GGMBH,,JAGERSTARSSE 54/55 10117,,BERLIN,,GM,00000,3400000,"TO SUPPORT NON-LOBBYING ACTIVITIES AND PROGRAMS PROMOTING OPEN, DEMOCRATIC SOCIETIES AROUND THE WORLD"
2022,263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,COMMON COUNSEL FOUNDATION,,1624 FRANKLIN ST 1022,,OAKLAND,CA,,94612,3000000,"TO SUPPORT THE MOVEMENT FOR BLACK LIVES, A PROJECT OF THE GRANTEE THAT CREATES ALTERNATIVE SOLUTIONS TO HARMFUL INSTITUTIONS, POLICIES, AND PRACTICES FOR ALL BLACK COMMUNITIES ACROSS THE NATION"
2022,263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,OPEN SOCIETY FOUNDATION FOR SOUTH AFRICA,,PARK LANE 2ND FLOOR LOBBY 2 BLOCK B,PINELANDS,CAPE TOWN,,SF,7450,2813235,"TO SUPPORT NON-LOBBYING PROGRAM ACTIVITIES RELATED TO CRIMINAL JUSTICE, HUMAN RIGHTS, DEMOCRACY BUILDING, PUBLIC HEALTH, MEDIA FREEDOM AND ACCESS TO INFORMATION"
