tax_year,filer_ein,filer_name,recipient_name,recipient_ein,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_country,recipient_postal,amount,purpose
2021,263753801,Foundation to Promote Open Society,Proteus Fund Inc,,15 Research Drive Suite B,,Amherst,MA,,01002,300000,"to support the Transparency and Accountability Initiative donor collaborative, a fiscally-sponsored project of the grantee, to assist its members to strengthen the impact and effectiveness of their transparency and accountability funding, and the movement as a whole"
2021,263753801,Foundation to Promote Open Society,Proteus Fund Inc,,15 Research Drive Suite B,,Amherst,MA,,01002,400000,"to support, Bridges, a fiscally sponsored project, to advance feminist communications strategies to promote human rights and gender equality"
2021,263753801,Foundation to Promote Open Society,Proteus Fund Inc,,15 Research Drive Suite B,,Amherst,MA,,01002,200000,"to provide support to Third Wave Fund, a project of the Grantee, for its Sex Worker Giving Circle, a queer and trans women of color and sex worker-led program that promotes their leadership in grassroots movement work and philanthropy"
2021,263753801,Foundation to Promote Open Society,Proteus Fund Inc,,15 Research Drive Suite B,,Amherst,MA,,01002,300000,"to support the Transparency and Accountability Initiative donor collaborative, a fiscally-sponsored project of the grantee, to assist its members to strengthen the impact and effectiveness of their transparency and accountability funding, and the movement as a whole"
2021,263753801,Foundation to Promote Open Society,Proteus Fund Inc,,15 Research Drive Suite B,,Amherst,MA,,01002,220000,"to support Bridges, a fiscally sponsored project, to advance feminist communications strategies to promote human rights and gender equality"
2021,263753801,Foundation to Promote Open Society,Proteus Fund Inc,,15 Research Drive Suite B,,Amherst,MA,,01002,450000,"to support the Piper Fund, a project of the Grantee dedicated to reducing the influence of special interests on the U.S. political system and in its state courts"
2021,263753801,Foundation to Promote Open Society,Proteus Fund Inc,,15 Research Drive Suite B,,Amherst,MA,,01002,300000,"to provide support to Third Wave Fund, a project of the Grantee, for its Sex Worker Giving Circle, a queer and trans women of color and sex worker-led program"
2021,263753801,Foundation to Promote Open Society,Peace Development Fund,,44 North Prospect Street PO Box 12,,Amherst,MA,,010041280,265000,"to support Whose Knowledge? to increase the safety, visibility, and knowledge production of communities that are marginalized in digital space through education"
2021,263753801,Foundation to Promote Open Society,Peace Development Fund,,44 North Prospect Street PO Box 12,,Amherst,MA,,010041280,100000,to support Whose Knowledge? with project support for a community of practice and documentation of indigenous communities and campaigns for climate justice
2021,263753801,Foundation to Promote Open Society,Vote Mama Foundation,,PO Box 694,,Amityville,NY,,11701,250000,to provide general support
2021,263753801,Foundation to Promote Open Society,Bard College,,PO Box 5000,,AnnandaleonHudson,NY,,125045000,555000,to provide program support for Al-Quds Bard College for Arts and Sciences in the academic year of 2020-2021
2021,263753801,Foundation to Promote Open Society,Women Win Foundation Inc,,116 Varnum St,,Arlington,MA,,02474,977000,to provide general support
2021,263753801,Foundation to Promote Open Society,Women Win Foundation Inc,,116 Varnum St,,Arlington,MA,,02474,200000,"to support the Numun Fund, serving to ensure funding for feminist activism and movement building through support of emerging feminist technology innovations, solutions, or practices"
2021,263753801,Foundation to Promote Open Society,Ashoka,,1700 North Moore Street Suite 2000,,Arlington,VA,,22209,150000,to select and train a new generation who will create new models to reinforce citizen-oriented institutions in Venezuela
2021,263753801,Foundation to Promote Open Society,US Committee for Refugees and Immigrants,,2231 Crystal Drive Suite 350,,Arlington,VA,,22202,50000,to develop a community sponsorship program that will expand resettlement support for refugees and other forcibly displaced populations
