tax_year,filer_ein,filer_name,recipient_name,recipient_ein,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_country,recipient_postal,amount,purpose
2020,263753801,Foundation to Promote Open Society,Oral History Institute of Moldova Public Associa,,Vasile Alecsandri Str 46,,Chisinau,,MD,MD-2012,18000,to provide general support
2020,263753801,Foundation to Promote Open Society,350org,,20 Jay Street Suite 732,,Brooklyn,NY,,11201,250000,to provide general support
2020,263753801,Foundation to Promote Open Society,A New Way of Life Re-Entry Project,,PO Box 875288,,Los Angeles,CA,,90087,200000,to provide general support
2020,263753801,Foundation to Promote Open Society,APhilip Randolph Educational Fund,,815 16th Street NW,,Washington DC,DC,,20006,100000,"to support the Grantee's civic engagement programming at the national level, and civic engagement field programs across selected target states and communities"
2020,263753801,Foundation to Promote Open Society,Abdorrahman Boroumand Center for Human Rights In I,,3220 N Street NW Suite 357,,Washington,DC,,20007,100000,to support advocacy and campaigning efforts for release of prisoners in the MENA region
2020,263753801,Foundation to Promote Open Society,Abdorrahman Boroumand Center for Human Rights In I,,3220 N Street NW Suite 357,,Washington,DC,,20007,183333,"to provide, in collaboration with HRI, general support for three years to promote human rights and democracy in Iran, with a particular emphasis on due process and the right to life"
2020,263753801,Foundation to Promote Open Society,Abolitionist Law Center,,PO Box 8654,,Pittsburgh,PA,,15221,100000,to provide general support
2020,263753801,Foundation to Promote Open Society,Academy of Medical and Public Health Services,,5306 Third Avenue 2nd Floor,,Brooklyn,NY,,11220,25000,to provide general support
2020,263753801,Foundation to Promote Open Society,Accelerator for America,,7119 W Sunset Blvd No 195,,Los Angeles,CA,,90046,750000,to provide support to the Grantee's work to provide cash assistance and other critical support to immigrant and other vulnerable workers impacted by the COVID 19
2020,263753801,Foundation to Promote Open Society,Access Foundation,,Urbanizacion Buenos Aires casa 23,,San Jose,,CS,00000,40000,to provide general support
2020,263753801,Foundation to Promote Open Society,Access Info Europe,,Cava de San Miguel 8 4 Centro,,Madrid,,SP,28005,100000,to provide general support
2020,263753801,Foundation to Promote Open Society,Access Now,,34 West 27th Street 6th Floor,,New York City,NY,,10001,145000,to provide general support
2020,263753801,Foundation to Promote Open Society,Access Now,,34 West 27th Street 6th Floor,,New York City,NY,,10001,200000,to provide general support
